"name","market_id","sub_market_id"
"Cuamantla Industrial Zone",3,13
"Danhos Industrial I",3,22
"Tijuana Technology Park",13,64
"Vie Verte Rosarito",13,69
"Piedras Blancas",13,64
"Deer Park",13,64
360,8,40
"Tmex Park",3,14
"Centro Logistico Jilotepec",3,14
"Las Joyas",5,26
"Vynmsa North",5,26
"Multiparque Norte",5,26
"Areya Guadalupe Business Park",5,28
"M3 Park Apodaca",5,25
"La Joya",5,26
"Colinas Leon II",1,4
"Pocket Park Leon",1,4
"Mendel Derramadero",8,39
"Vynmsa Ramos Arizpe V",8,40
"Vesta Park San Luis Potosi",9,43
"Queretaro Park VII",2,7
"Vie Verte 2",2,7
"Queretaro Park V",2,9
"Queretaro Park VI",2,9
"Santa Fe",18,82
Lagunero,18,80
"Frasa Otay",13,68
"Martel San Javier",5,25
"Advance El Salto",10,48
"Vynmsa Guanajuato Puerto Interior II",1,6
"Vynmsa Guanajuato Puerto Interior III",1,6
"Compejo Industrial Bafar Norte",6,33
"Vynma Apodaca",5,25
"Vynmsa Santa Catarina III",5,31
"Vynmsa Queretaro II",2,7
"Odonnell Vallejo",3,16
"Odonnell Tlalpan",3,16
"CPA Logicenter Cuautitlan",3,13
"CPA Logistic San Martin Obispo",3,13
"Diamante Escobedo",5,27
"San Cayetano",3,20
"Las Plazas II",3,20
Alamar,13,62
"Rosarito Industrial",13,69
"Ciudad Industrial",13,68
"Vesta Sur",11,56
"Aros Salinas Victoria",5,26
"Savy Apodaca",5,25
Saltillo,8,40
"Amistad Laguna",18,82
Polarispark,3,20
"World Park Tultepark III",3,22
"CPA Logistic Center Cuautitlan",3,13
"Cerro del Colorado",13,62
"Saltillo Ramos Arizpe",8,40
"East Pacifico",13,64
"Salvacar Industrial Center",11,56
"CPA San Miguel Obispo",3,13
